                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0037,                 1.0036,                   1.15,                 1.1728,                 1.3115,                 1.1507,                0.66463,                0.57007,                0.60952,                0.40415,                 1.1747,                 1.1143,                 1.2226,                 1.2954,                 1.3986,                 1.2125,              0.0033306,              0.0033306,              0.0033306
                      2,                 1.0351,                 1.0561,                 1.1669,                 1.2071,                 1.3676,                 1.1646,                0.66558,                0.54877,                0.59314,                0.38699,                  1.199,                 1.1459,                 1.2248,                 1.3186,                 1.4287,                 1.2194,              0.0066508,              0.0066508,              0.0066508
                      3,                 1.0892,                   1.15,                 1.1938,                  1.264,                 1.4549,                 1.1899,                0.62562,                0.50948,                 0.5411,                0.34688,                 1.2447,                  1.258,                 1.2548,                 1.3774,                 1.5535,                 1.2459,              0.0099577,              0.0099577,              0.0099577
                      4,                 1.1461,                 1.2727,                 1.2252,                 1.3129,                 1.5917,                 1.2181,                0.59688,                0.48224,                0.51569,                0.32503,                 1.2777,                 1.3247,                 1.2794,                 1.4179,                 1.6173,                 1.2777,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.1687,                 1.3311,                 1.2392,                 1.3427,                 1.6575,                 1.2309,                 0.5998,                0.49446,                0.52237,                0.33003,                 1.2771,                 1.3109,                  1.283,                 1.4095,                 1.6229,                 1.2694,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.1834,                 1.3393,                  1.243,                 1.3592,                 1.6718,                 1.2312,                0.60927,                0.49493,                0.52487,                0.33126,                 1.2798,                 1.3158,                 1.2838,                 1.4173,                 1.6066,                 1.2772,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.1777,                 1.3525,                 1.2434,                 1.3472,                 1.6842,                  1.234,                0.61033,                0.50416,                0.53372,                0.33572,                  1.277,                 1.3057,                 1.2771,                 1.4065,                 1.5902,                 1.2676,               0.009901,               0.009901,               0.009901
                      8,                 1.1894,                 1.3544,                 1.2457,                 1.3607,                 1.6823,                 1.2361,                0.60633,                0.50486,                 0.5314,                 0.3351,                 1.2807,                 1.3026,                 1.2918,                  1.408,                 1.5977,                 1.2806,              0.0098812,              0.0098812,              0.0098812
                      9,                  1.196,                 1.3524,                 1.2504,                 1.3659,                  1.685,                 1.2379,                0.60375,                0.50849,                0.53203,                0.33503,                 1.2814,                 1.2951,                 1.2726,                 1.4139,                  1.605,                 1.2663,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.1963,                  1.369,                 1.2535,                 1.3674,                 1.7007,                 1.2462,                0.57348,                0.49109,                0.51451,                0.32142,                   1.29,                  1.342,                 1.2979,                 1.4204,                 1.6446,                 1.2902,              0.0098416,              0.0098416,              0.0098416
